"Position","Book Title and Authors","Book Details Link","Book Thumbnail"
14,"Kỹ thuật Sản xuất giống và trồng Rong biển :Bài giảng dành cho sinh viên các lớp Nuôi trồng thủy sản /Lê Anh Tuấn [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215292","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_kythuatsxgiongvanuoirongbien_leanhtuan/0bg_kythuatsxgiongvanuoirongbien_leanhtuan_001thumbimage.jpg"
15,"Quy hoạch và Phát triển Thủy sản /Lê Anh Tuấn [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215261","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_quyhoachvaphattrienntts_leanhtuan/0bg_quyhoachvaphattrienntts_leanhtuan_001thumbimage.jpg"
16,"Chuẩn mực báo cáo tài chính quốc tế [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215249","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/chuanmucbaocaotaichinhquocte/chuanmucbaocaotaichinhquocte_001thumbimage.jpg"
17,"Lập và phân tích báo cáo tài chính theo IFRS [02-01-2025]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215242","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/lapvaphantichbaocaotaichinhtheoifrs/lapvaphantichbaocaotaichinhtheoifrs_001thumbimage.jpg"
18,"Kỹ thuật nuôi trồng thủy sản /Trần Văn Dũng [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215228","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_kythuatntts_tranvandung/0bg_kythuatntts_tranvandung_001thumbimage.jpg"
19,"Kiểm tra vật liệu và NDT /Huỳnh Văn Vũ [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215225","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/kiemtravatlieuvandt_huynhvanvu/0kiemtravatlieuvandt_huynhvanvu_01thumbimage.jpg"
20,"Phương pháp nghiên cứu khoa học /Huỳnh Văn Vũ [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215224","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tiengviet/000_tongquat/000_tongquat/phuongphapnghiencuukhoahoc_huynhvanvu/0phuongphapnghiencuukhoahoc_huynhvanvu_001thumbimage.jpg"
21,"Kỹ thuật Hàn tàu thủy. Phần 2 /Huỳnh Văn Vũ [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215222","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/kythuathantauthuy_huynhvanvu/0kythuathantauthuy_huynhvanvu_001thumbimage.jpg"
22,"Quy hoạch và quản lý nuôi trồng thủy sản /Lê Anh Tuấn [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215216","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/bg_quyhoachvaquanlyntts_leanhtuan/0bg_quyhoachvaquanlyntts_leanhtuan_001thumbimage.jpg"
23,"Tổng hợp văn bản pháp luật năm 2023 :Học phần Luật kinh doanh /Hoàng Thu Thuỷ, Nguyễn Thị Hà Trang [31-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215203","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/340_luathoc/tonghopvbpl2023_hoangthuthuy/0tonghopvbpl2023_hoangthuthuy_001thumbimage.jpg"
24,"Thực hành thực vật và động vật phù du /Trương Thị Bích Hồng (chủ biên), Nguyễn Thị Thúy, Trần Thị Lê Trang [27-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=215082","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/500_tunhien_toan/570_sinhhoc_khoahocdoisong/bg_thuchanhtvvadvphudu_truongthibichhong/0bg_thuchanhtvvadvphudu_truongthibichhong_01thumbimage.jpg"
25,"Hình thái phân loại giáp xác và động vật thân mềm /Vũ Trọng Đại [26-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214988","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/500_tunhien_toan/590_dongvathoc/bg_hinhthaiphanloaigxvadvtm_vutrongdai/0bg_hinhthaiphanloaigxvadvtm_vutrongdai_001thumbimage.jpg"
26,"Bài giảng Nhiên liệu và môi chất chuyên dùng - Dùng cho động cơ đốt trong :(Bài giảng dùng cho học viên ngành động lực Đại học Nha Trang) - Lưu hành nội bộ /Hồ Đức Tuấn [25-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214975","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/bgnhienlieuvamoichatchuyendung_hoductuan/0biathumbimage.jpg"
27,"Bài giảng Đại lý tàu biển và giao nhận hàng hóa :Lưu hành nội bộ /Hồ Đức Tuấn [25-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214974","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/380_thuongmai_truyenthong_vantai/bgdailytaubienvagiaonhanhanghoa_hoductuan/00biathumbimage.jpg"
28,"Bài giảng Bảo vệ môi trường biển - Vấn đề và giải pháp :Chương 9, Chương 10 /Hồ Đức Tuấn [25-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214955","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/360_vandexahoi_cuute_doanthe/bgbaovemoitruongbien_hoductuan/00biathumbimage.jpg"
29,"English for Engineering. Book 2 :Marine diesel and auxiliary engines /Hồ Đức Tuấn, Huỳnh Văn Vũ [25-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214922","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/englishforengineering_book2_hoductuan/0biathumbimage.jpg"
30,"Bài giảng Máy và thiết bị nâng hạ tàu thủy :(Lưu hành nội bộ) /Nguyễn Thái Vũ, Hồ Đức Tuấn [25-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214910","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/bgmayvathietbinanghatauthuy_ngthaivu_hoductuan/0biathumbimage.jpg"
31,"Nhập môn ngành cơ điện tử /Nguyễn Văn Định [25-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214907","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/bg_nhapmonnganhcodientu_nguyenvandinh/0bg_nhapmonnganhcodientu_nguyenvandinh_001thumbimage.jpg"
32,"Bài giảng Động cơ đốt trong /Hồ Đức Tuấn [24-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214896","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/bgdongcodottrong_hoductuan_2022/0biathumbimage.jpg"
33,"Kỹ thuật thi công và lắp đặt hệ thống lạnh và điều hòa không khí /Nguyễn Đình Khương [24-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214895","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/690_xaydung/bg_kythuatthicongvalapdat_htlvadhkk_nguyendinhkhuong/0bg_kythuatthicongvalapdat_htlvadhkk_nguyendinhkhuong_001thumbimage.jpg"
34,"Maritime English /Hồ Đức Tuấn (chủ biên) và những người khác [24-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214888","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/maritimeenglish_book1_hoductuan/0pagethumbimage.jpg"
35,"Quản lý khai thác cảng /Hồ Đức Tuấn [24-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214879","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/670_congnghiepchetao/bgquanlykhaithaccang_hoductuan/0biathumbimage.jpg"
36,"Giáo trình Công nghệ đóng sửa tàu phi kim loại /Phạm Thanh Nhựt [20-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214732","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/congnghedongsuatauphikimloai_phamthanhnhat/congnghedongsuatauphikimloai_phamthanhnhat_001thumbimage.jpg"
